ddPCR	STR_PCR
60.11	61
75	74
12.72	14
23.08	25
15.31	16
64.73	65
68.78	71
62.32	65
63.25	61
78.06	74
13.24	10
24.42	24
13.65	15
34.48	32
0.22	0
0	0
0.8	1
7.6	5
20.5	20
98.49	99
95.21	100
51.31	49
69.21	73
41.47	40
0.5	0
0.62	0
16.35	18
21.28	25
55.91	55
70.42	62
1.53	0
0.16	0
0.34	0
0	0
0.34	0
0.09	0
0	0
0.77	0
2.37	2
4.03	5
0.15	0
2.22	2
0.21	0
0	0
20.38	21
23.66	21
2.67	3
6.65	15
0.24	1
0.34	1
0	1
0	0
1.67	0
0.56	1
5.48	1
0	0
0	0
0.64	1
0	1
0	1
0	1
0.05	1
0	1
0.06	3
0.34	0
0.3	2
1.75	6
29.68	29
0.16	0
0.04	0
0.08	0
0.19	0
4.23	6
14	18
0.04	0
0	1
0	1
0.13	1
0.14	1
0.1	1
0.06	1
0.05	1
1	1
0	0
0.23	1
0.06	0
0	1
0	1
0.14	1
0.13	1
0.06	1
50.9	56
48.04	69
43.36	50
17.71	27
6.34	10
91.26	94
46.68	50
19.5	24
0.1	0
0.41	0
0.08	1
0.09	1
0	0
0.24	0
0.07	0
0.08	1
4.12	3
19.91	23
26.99	30
3.11	4
4.22	6
7.94	3
0.18	0
1.87	0
0.18	0
85.99	94
86.47	96
27.14	31
5.36	6
39.57	44
0.34	0
0	0
0.24	0
0	0
0.26	0
0	0
0.11	0
100	94
97.35	96
68.95	70
30.51	32
29.28	27
100	97
95.37	95
76.26	73
28.48	33
29.49	32
27.36	30
92.55	94
0	2
0	2
0	2
0.06	2
0.05	3
0.05	1
0.22	0
0.14	0
0.09	0
0.27	0
4.35	5
17.06	19
0.08	0
0	0
0	0
0.74	1
0.4	0
0.17	1
0.16	1
0.22	0
0.06	0
1.41	1
8.73	9
17.19	22
1.14	3
6.8	9
0	1
0.34	2
0.03	0
0	0
0	0
0.08	0
0.04	0
0	0
0.05	0
0.05	0
2.49	7
10.71	16
13.55	18
20.89	24
28.6	30
32.23	36
4.22	8
0	0
0	0
0.09	0
0	0
0.03	0
62.78	52
46.29	48
21.03	24
96.03	91
0.34	0
0.75	0
0.06	0
1.35	1
0.05	1
0	0
0	0
0.15	0
0.06	1
0	0
0.11	0
0.06	0
0.05	0
99.21	92
93.44	96
29.83	39
16.95	18
0.1	0
0	0
0.1	1
0	0
0	0
0.36	0
0.64	1
0.1	0
0.94	1
0.04	0
0.11	0
0.25	0
0.05	0
0.11	0
0.21	0
31.16	28
41.64	35
5.2	4
15.04	14
8.19	5
0	0
0	0
0.43	1
0.36	1
1.48	4
0	0
0	0
0	0
0.05	1
0	0
0.08	1
0.08	1
54.21	54
61.51	57
81.55	78
72.67	65
64.8	57
60.93	64
81.52	77
57.53	57
34.51	30
34.45	36
5.79	1
16.48	15
1.05	0
9.76	5
23.73	15
0.65	1
0.26	1
1.93	2
0	0
95.44	98
93.95	93
0.45	0
0.24	0
0.13	0
0.72	1
0.98	2
0.55	1
0.11	1
0.03	1
0.22	0
0	1
0.09	0
0.04	0
0.07	0
0.13	0
0	1
0.62	0
0.05	1
0.05	0
0.1	1
2.41	3
13.75	19
0	1
